"","ISS","Data_Wt","ESS"
"1",34,1.73852538758909,59.1098631780292
"2",44,1.73852538758909,76.4951170539201
"3",41,1.73852538758909,71.2795408911528
"4",38,1.73852538758909,66.0639647283855
"5",41,1.73852538758909,71.2795408911528
"6",42,1.73852538758909,73.0180662787419
"7",39,1.73852538758909,67.8024901159746
"8",30,1.73852538758909,52.1557616276728
"9",37,1.73852538758909,64.3254393407964
"10",33,1.73852538758909,57.3713377904401
"11",43,1.73852538758909,74.756591666331
"12",42,1.73852538758909,73.0180662787419
"13",42,1.73852538758909,73.0180662787419
"14",42,1.73852538758909,73.0180662787419
