"","ISS","Data_Wt","ESS"
"1",25,0.333022578717142,8.32556446792856
"2",27,0.333022578717142,8.99160962536284
"3",21,0.333022578717142,6.99347415305999
"4",24,0.333022578717142,7.99254188921141
"5",29,0.333022578717142,9.65765478279713
"6",29,0.333022578717142,9.65765478279713
"7",29,0.333022578717142,9.65765478279713
"8",28,0.333022578717142,9.32463220407998
"9",29,0.333022578717142,9.65765478279713
"10",29,0.333022578717142,9.65765478279713
"11",28,0.333022578717142,9.32463220407998
"12",29,0.333022578717142,9.65765478279713
"13",30,0.333022578717142,9.99067736151427
"14",29,0.333022578717142,9.65765478279713
"15",24,0.333022578717142,7.99254188921141
"16",20,0.333022578717142,6.66045157434285
"17",22,0.333022578717142,7.32649673177713
"18",29,0.333022578717142,9.65765478279713
"19",29,0.333022578717142,9.65765478279713
"20",22,0.333022578717142,7.32649673177713
"21",29,0.333022578717142,9.65765478279713
"22",25,0.333022578717142,8.32556446792856
"23",30,0.333022578717142,9.99067736151427
"24",27,0.333022578717142,8.99160962536284
"25",30,0.333022578717142,9.99067736151427
