"","x"
"1",491.38782890023
"2",469.469749780604
"3",453.48402125626
"4",492.815180212427
"5",482.067574973077
"6",481.040450078992
"7",482.289262547673
"8",468.064275040071
"9",451.868184213573
"10",439.70640675838
"11",427.186270846931
"12",443.735842863621
"13",436.305523199387
