"","Comp_Type","Init_Weight","Final_Weight"
"1","GOA_LLF_Age_F",1,0.0976056566744831
"2","GOA_LLF_Age_M",1,NA
"3","GOA_LLS_Age_F",1,0.304365160236766
"4","GOA_LLS_Age_M",1,NA
"5","JPN_LLS_Age_F",1,0.149382407972137
"6","JPN_LLS_Age_M",1,NA
"7","TF_Len_F",1,0.227177131947203
"8","TF_Len_M",1,NA
"9","JPN_LLS_Len_F",1,0.369860527750555
"10","JPN_LLS_Len_M",1,NA
