"","ISS","Data_Wt","ESS"
"1",29,0.369860527750555,10.7259553047661
"2",32,0.369860527750555,11.8355368880178
"3",35,0.369860527750555,12.9451184712694
"4",49,0.369860527750555,18.1231658597772
"5",50,0.369860527750555,18.4930263875278
"6",65,0.369860527750555,24.0409343037861
"7",75,0.369860527750555,27.7395395812916
"8",75,0.369860527750555,27.7395395812916
"9",65,0.369860527750555,24.0409343037861
"10",70,0.369860527750555,25.8902369425389
"11",68,0.369860527750555,25.1505158870377
"12",53,0.369860527750555,19.6026079707794
"13",49,0.369860527750555,18.1231658597772
"14",53,0.369860527750555,19.6026079707794
"15",54,0.369860527750555,19.97246849853
"16",52,0.369860527750555,19.2327474430289
