"","ISS","Data_Wt","ESS"
"1",34,1.9113994839545,64.9875824544529
"2",44,1.9113994839545,84.1015772939978
"3",41,1.9113994839545,78.3673788421343
"4",38,1.9113994839545,72.6331803902709
"5",41,1.9113994839545,78.3673788421343
"6",42,1.9113994839545,80.2787783260888
"7",39,1.9113994839545,74.5445798742253
"8",30,1.9113994839545,57.3419845186349
"9",37,1.9113994839545,70.7217809063164
"10",33,1.9113994839545,63.0761829704984
"11",43,1.9113994839545,82.1901778100433
"12",42,1.9113994839545,80.2787783260888
"13",42,1.9113994839545,80.2787783260888
"14",42,1.9113994839545,80.2787783260888
