"","ISS","Data_Wt","ESS"
"1",34,1,34
"2",44,1,44
"3",41,1,41
"4",38,1,38
"5",41,1,41
"6",42,1,42
"7",39,1,39
"8",30,1,30
"9",37,1,37
"10",33,1,33
"11",43,1,43
"12",42,1,42
"13",42,1,42
"14",42,1,42
