"","SE","Data_Wt","Eff_SE"
"1",0.0617253289162012,1,0.0617253289162012
"2",0.0604072890153337,1,0.0604072890153337
"3",0.0551663595571399,1,0.0551663595571399
"4",0.0721754622466022,1,0.0721754622466022
"5",0.0607084566585662,1,0.0607084566585662
"6",0.0656058255484928,1,0.0656058255484928
"7",0.0642891804064304,1,0.0642891804064304
"8",0.0698808415013137,1,0.0698808415013137
"9",0.0766799064364087,1,0.0766799064364087
"10",0.0725986979014297,1,0.0725986979014297
"11",0.086720718497098,1,0.086720718497098
"12",0.079738807893088,1,0.079738807893088
"13",0.0994128865642147,1,0.0994128865642147
"14",0.085420212725718,1,0.085420212725718
"15",0.0941683803242643,1,0.0941683803242643
"16",0.0976212475253504,1,0.0976212475253504
"17",0.086726800651229,1,0.086726800651229
"18",0.0925407084743852,1,0.0925407084743852
"19",0.0836253214692125,1,0.0836253214692125
"20",0.11201914550218,1,0.11201914550218
"21",0.0978730240162486,1,0.0978730240162486
"22",0.0967012997580277,1,0.0967012997580277
"23",0.0891369756854671,1,0.0891369756854671
"24",0.0895945232297297,1,0.0895945232297297
"25",0.0770637756681658,1,0.0770637756681658
"26",0.0862676776058107,1,0.0862676776058107
"27",0.08089219266372,1,0.08089219266372
"28",0.0670053879015456,1,0.0670053879015456
"29",0.0703238741350962,1,0.0703238741350962
"30",0.0788248339293156,1,0.0788248339293156
"31",0.0757956221543966,1,0.0757956221543966
"32",0.0726980141734946,1,0.0726980141734946
"33",0.055028516188699,1,0.055028516188699
"34",0.0904755249797555,1,0.0904755249797555
"35",0.0692461863980005,1,0.0692461863980005
