"","ISS","Data_Wt","ESS"
"1",28,0.143776261719773,4.02573532815363
"2",24,0.143776261719773,3.45063028127454
"3",22,0.143776261719773,3.163077757835
"4",40,0.143776261719773,5.75105046879091
"5",26,0.143776261719773,3.73818280471409
"6",37,0.143776261719773,5.31972168363159
"7",38,0.143776261719773,5.46349794535136
"8",35,0.143776261719773,5.03216916019204
"9",32,0.143776261719773,4.60084037503272
"10",34,0.143776261719773,4.88839289847227
"11",40,0.143776261719773,5.75105046879091
"12",41,0.143776261719773,5.89482673051068
"13",37,0.143776261719773,5.31972168363159
"14",38,0.143776261719773,5.46349794535136
"15",32,0.143776261719773,4.60084037503272
"16",41,0.143776261719773,5.89482673051068
"17",47,0.143776261719773,6.75748430082931
"18",41,0.143776261719773,5.89482673051068
"19",100,0.143776261719773,14.3776261719773
"20",85,0.143776261719773,12.2209822461807
"21",75,0.143776261719773,10.7832196289829
"22",77,0.143776261719773,11.0707721524225
"23",74,0.143776261719773,10.6394433672632
