"","ISS","Data_Wt","ESS"
"1",29,0.361083310605304,10.4714160075538
"2",32,0.361083310605304,11.5546659393697
"3",35,0.361083310605304,12.6379158711856
"4",49,0.361083310605304,17.6930822196599
"5",50,0.361083310605304,18.0541655302652
"6",65,0.361083310605304,23.4704151893447
"7",75,0.361083310605304,27.0812482953978
"8",75,0.361083310605304,27.0812482953978
"9",65,0.361083310605304,23.4704151893447
"10",70,0.361083310605304,25.2758317423713
"11",68,0.361083310605304,24.5536651211607
"12",53,0.361083310605304,19.1374154620811
"13",49,0.361083310605304,17.6930822196599
"14",53,0.361083310605304,19.1374154620811
"15",54,0.361083310605304,19.4984987726864
"16",52,0.361083310605304,18.7763321514758
