"","ISS","Data_Wt","ESS"
"1",29,0.352567339310034,10.224452839991
"2",32,0.352567339310034,11.2821548579211
"3",35,0.352567339310034,12.3398568758512
"4",49,0.352567339310034,17.2757996261917
"5",50,0.352567339310034,17.6283669655017
"6",65,0.352567339310034,22.9168770551522
"7",75,0.352567339310034,26.4425504482526
"8",75,0.352567339310034,26.4425504482526
"9",65,0.352567339310034,22.9168770551522
"10",70,0.352567339310034,24.6797137517024
"11",68,0.352567339310034,23.9745790730823
"12",53,0.352567339310034,18.6860689834318
"13",49,0.352567339310034,17.2757996261917
"14",53,0.352567339310034,18.6860689834318
"15",54,0.352567339310034,19.0386363227418
"16",52,0.352567339310034,18.3335016441218
