"","ISS","Data_Wt","ESS"
"1",28,0.243236336051018,6.8106174094285
"2",24,0.243236336051018,5.83767206522443
"3",22,0.243236336051018,5.35119939312239
"4",40,0.243236336051018,9.72945344204071
"5",26,0.243236336051018,6.32414473732646
"6",37,0.243236336051018,8.99974443388766
"7",38,0.243236336051018,9.24298076993868
"8",35,0.243236336051018,8.51327176178562
"9",32,0.243236336051018,7.78356275363257
"10",34,0.243236336051018,8.27003542573461
"11",40,0.243236336051018,9.72945344204071
"12",41,0.243236336051018,9.97268977809173
"13",37,0.243236336051018,8.99974443388766
"14",38,0.243236336051018,9.24298076993868
"15",32,0.243236336051018,7.78356275363257
"16",41,0.243236336051018,9.97268977809173
"17",47,0.243236336051018,11.4321077943978
"18",41,0.243236336051018,9.97268977809173
"19",100,0.243236336051018,24.3236336051018
"20",85,0.243236336051018,20.6750885643365
"21",75,0.243236336051018,18.2427252038263
"22",77,0.243236336051018,18.7291978759284
"23",74,0.243236336051018,17.9994888677753
