"","ISS","Data_Wt","ESS"
"1",29,0.329163309351658,9.54573597119807
"2",32,0.329163309351658,10.533225899253
"3",35,0.329163309351658,11.520715827308
"4",49,0.329163309351658,16.1290021582312
"5",50,0.329163309351658,16.4581654675829
"6",65,0.329163309351658,21.3956151078577
"7",75,0.329163309351658,24.6872482013743
"8",75,0.329163309351658,24.6872482013743
"9",65,0.329163309351658,21.3956151078577
"10",70,0.329163309351658,23.041431654616
"11",68,0.329163309351658,22.3831050359127
"12",53,0.329163309351658,17.4456553956379
"13",49,0.329163309351658,16.1290021582312
"14",53,0.329163309351658,17.4456553956379
"15",54,0.329163309351658,17.7748187049895
"16",52,0.329163309351658,17.1164920862862
