"","ISS","Data_Wt","ESS"
"1",82,0.319128783374178,26.1685602366826
"2",95,0.319128783374178,30.3172344205469
"3",68,0.319128783374178,21.7007572694441
"4",68,0.319128783374178,21.7007572694441
"5",71,0.319128783374178,22.6581436195667
"6",66,0.319128783374178,21.0624997026958
"7",73,0.319128783374178,23.296401186315
"8",78,0.319128783374178,24.8920451031859
"9",74,0.319128783374178,23.6155299696892
"10",75,0.319128783374178,23.9346587530634
"11",73,0.319128783374178,23.296401186315
"12",70,0.319128783374178,22.3390148361925
"13",76,0.319128783374178,24.2537875364376
"14",84,0.319128783374178,26.806817803431
"15",85,0.319128783374178,27.1259465868052
"16",85,0.319128783374178,27.1259465868052
"17",78,0.319128783374178,24.8920451031859
"18",79,0.319128783374178,25.2111738865601
"19",87,0.319128783374178,27.7642041535535
"20",100,0.319128783374178,31.9128783374178
"21",76,0.319128783374178,24.2537875364376
"22",75,0.319128783374178,23.9346587530634
"23",75,0.319128783374178,23.9346587530634
"24",73,0.319128783374178,23.296401186315
"25",75,0.319128783374178,23.9346587530634
"26",74,0.319128783374178,23.6155299696892
"27",75,0.319128783374178,23.9346587530634
"28",70,0.319128783374178,22.3390148361925
