"","year","mcmc_med_ssb","lwr_95_ssb","upr_95_ssb","mle_ssb","mcmc_med_rec","lwr_95_rec","upr_95_rec","mle_rec","mcmc_med_totbiom","lwr_95_totbiom","upr_95_totbiom","mle_totbiom"
"1",1,284.938260477685,233.296154579304,347.569871001895,304.392408325323,16.3588545472282,7.1870764438482,37.0296985043733,18.9643012232985,619.135505578187,516.771447128224,750.234536687163,661.661847745545
"2",2,284.537626918431,233.392312472653,346.443639476568,303.699727157255,16.485175229724,7.2777472637033,37.010609088948,19.1767210840839,618.274173196819,517.605536049723,746.296045174039,660.076270611682
"3",3,277.41073303004,227.010603053011,338.58914555304,296.280727549459,16.9489949583664,7.42199202097348,38.0995678257734,19.6574204109057,604.64298459425,505.605015850393,730.542527702763,645.986976665706
"4",4,265.1317653473,215.463283920739,325.378997055549,283.661556536454,17.6330379082079,7.62223234602355,40.5605122336009,20.4746768009792,582.43237791964,484.569165297813,706.450828359546,623.301587465096
"5",5,258.168554093585,209.192095619143,317.312313905798,276.430464722719,18.412030637453,7.8628022997632,42.9990030164889,21.285592697103,572.454276706884,477.134042847116,693.884138475924,612.463830084458
"6",6,256.498274963761,208.143117396234,314.667087289505,274.523860855993,18.9000786853488,8.04323037648364,44.6059103587997,21.7499047398154,573.516014787747,481.10201624735,691.691232867399,612.918531424581
"7",7,254.616481123503,207.19825527117,311.858582563761,272.438457512305,18.8819159324428,8.07702604326862,44.356751675042,21.7846553065699,574.053043559006,484.765242954266,689.85715010658,612.772378894686
"8",8,249.963333253453,203.64330228487,305.58614585666,267.467673551978,18.5290086203356,7.87406944934199,43.0157478924005,21.3389279365426,567.942192552755,481.945382788139,680.85987923647,605.914337978434
"9",9,244.354885963167,199.453986736104,298.325867692222,261.448388040445,17.8566809319177,7.81071265174226,40.0936684455407,20.5540681988148,558.048743465242,475.288576901243,667.57042295998,595.393014149099
"10",10,233.775691256777,190.678373595079,286.058303762049,250.23333447659,16.9446057970254,7.46339085456426,37.6266215263953,19.5966223634484,536.566235227837,456.992487710287,642.582128580566,572.731070286121
