"","x"
"1",642.95525083264
"2",627.915732933878
"3",611.290732220674
"4",650.691879555631
"5",634.495945147587
"6",628.155584142006
"7",623.35456367833
"8",601.424734452607
"9",577.518335156405
"10",558.738515281463
"11",540.185410708673
"12",553.051836095156
"13",540.349908293284
"14",527.256080202153
