,variable,mean,median,sd,q5,q95,rhat,ess_bulk,ess_tail,mle_mean,mle_sd
1,ln_global_R0,2.87,2.86,0.13,2.66,3.09,1.00,28280.46,21687.49,3.03,0.13
2,ln_M[1],-2.41,-2.41,0.07,-2.52,-2.29,1.00,27056.49,25508.58,-2.39,0.07
3,ln_M[2],-2.43,-2.43,0.07,-2.55,-2.31,1.00,27251.40,25331.09,-2.41,0.07
4,ln_srv_q[1],1.90,1.91,0.10,1.73,2.06,1.00,24330.01,21348.97,1.90,0.10
5,ln_srv_q[2],1.73,1.73,0.10,1.56,1.89,1.00,16183.80,20634.73,1.71,0.09
