"","year","mcmc_med_ssb","lwr_95_ssb","upr_95_ssb","mle_ssb","mcmc_med_rec","lwr_95_rec","upr_95_rec","mle_rec"
"1",1,285.078575725408,233.954360270789,348.703549050137,289.460474008309,17.6338376633243,7.86367657369769,39.3129431074339,19.4590271340975
"2",2,284.744745856483,233.860681910094,347.667849701671,288.834079964892,17.8956425291786,7.82199215027917,40.1502041075507,19.6699548276218
"3",3,277.740202821827,227.374214187688,339.616782960554,281.536480077017,18.3286415954709,7.99509831256312,41.7937132638458,20.1745130314421
"4",4,265.595967126597,216.25390851641,326.129664570135,269.174790005053,19.1368350205431,8.32028511385624,44.113475714113,21.0467253559056
"5",5,259.091670725387,210.454304777076,318.691034850562,262.397323897453,19.9746762920229,8.56690325441004,46.5950112329424,21.9062807229386
"6",6,258.087743300173,209.959311596931,316.671134137293,261.190063677842,20.5505197436037,8.75075000225978,48.1608550608619,22.3801612882275
"7",7,257.20371193756,209.733667778022,314.492426235775,260.081898962114,20.6118797448922,8.85511148585793,48.2158978547435,22.3817499250864
"8",8,253.606496893225,207.055448687811,309.762238878037,256.328618576295,20.2528467040457,8.6898093445547,46.3926524914762,21.8676719969879
"9",9,249.205284343869,203.714199587279,304.086262325672,251.650147357617,19.2385891558029,8.35449241146958,43.0786133883342,20.900137760581
"10",10,239.71282239092,195.923584965906,293.18095824391,241.84655758654,18.2966069206856,8.09939920137509,40.3870505961308,19.782942085607
"11",11,227.902166467661,185.678283898218,279.517212628518,229.731908344185,17.2403727247074,7.80935480025544,36.7785201373725,18.66872374138
"12",12,215.716322886445,174.534892385322,265.618642683527,217.256751957167,16.2747817122845,7.44050139344082,34.1302048873491,17.6318531905797
"13",13,200.58534209117,161.336136317084,248.943703743855,202.116753260829,15.3796513780065,7.14420297257303,31.3901041619417,16.6709417571445
"14",14,180.731179392811,143.573652932637,227.76907465526,182.227149375785,14.514351742976,6.83261037576183,29.085969248582,15.7729282097672
"15",15,168.406379716077,132.81945220437,214.117545055244,169.940773549767,13.8110858313141,6.64132337505228,27.0417132570525,15.0227499186269
"16",16,156.722702185514,122.636552599517,200.844449929096,158.426542816761,6.90029009989783,1.64613643247326,21.441190549095,7.89822931566695
"17",17,146.991580403915,114.357052861274,189.385587028064,148.895467814601,6.52349509506251,1.5769224184753,19.2952429312118,7.54649445079009
"18",18,135.979903704594,105.010460183021,176.329257314629,138.032985989126,6.67656761928837,1.57821727495001,19.1949428586501,7.52532203645093
"19",19,129.2221017457,99.8332330764986,168.026939374674,131.518251338761,7.90224462002727,1.78752296730889,22.8556718640623,8.88696525852833
"20",20,127.3732020826,99.4409365826941,164.431588940352,129.78903131039,18.2975177135212,3.48156065718319,50.1030091877266,20.321870286829
